Page,Request Method,Url,Payload
Signals,GET,https://sigopsmetrics-api.dot.ga.gov/signals/all,
Summary Trend,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/summarytrends?source=main,
Health Metrics,GET,https://sigopsmetrics-api.dot.ga.gov/metrics/monthaverages?zoneGroup=North&month=03-01-2025,
Health Metrics,GET,https://sigopsmetrics-api.dot.ga.gov/metrics/monthaverages?zoneGroup=Southeast&month=03-01-2025,
Health Metrics,GET,https://sigopsmetrics-api.dot.ga.gov/metrics/monthaverages?zoneGroup=Southwest&month=03-01-2025,
Health Metrics,GET,https://sigopsmetrics-api.dot.ga.gov/metrics/monthaverages?zoneGroup=Central%20Metro&month=03-01-2025,
Health Metrics,GET,https://sigopsmetrics-api.dot.ga.gov/metrics/monthaverages?zoneGroup=Western%20Metro&month=03-01-2025,
Health Metrics,GET,https://sigopsmetrics-api.dot.ga.gov/metrics/monthaverages?zoneGroup=Eastern%20Metro&month=03-01-2025,
Health Metrics,GET,https://sigopsmetrics-api.dot.ga.gov/metrics/monthaverages?zoneGroup=&month=03-01-2025,
Health Metrics,GET,https://sigopsmetrics-api.dot.ga.gov/metrics?source=main&level=cor&interval=mo&measure=maint_plot&start=03-01-2025&end=04-01-2025,
Health Metrics,GET,https://sigopsmetrics-api.dot.ga.gov/metrics?source=main&level=cor&interval=mo&measure=ops_plot&start=03-01-2025&end=04-01-2025,
Health Metrics,GET,https://sigopsmetrics-api.dot.ga.gov/metrics?source=main&level=cor&interval=mo&measure=safety_plot&start=03-01-2025&end=04-01-2025,
,,,
Watchdog,POST,https://sigopsmetrics-api.dot.ga.gov/watchdog/data,"{""startDate"":""2025-04-01T15:26:25.506Z"",""endDate"":""2025-04-07T15:26:25.506Z"",""alert"":""No Camera Image"",""phase"":""All"",""intersectionFilter"":"""",""streak"":""All"",""zoneGroup"":""Central Metro""}"
,,,
Maintenance,GET,https://sigopsmetrics-api.dot.ga.gov/signals/all,
Maintenance,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/filter?source=main&measure=du,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Maintenance,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/average?source=main&measure=du&dashboard=false,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Maintenance,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=du,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Maintenance,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/signals/filter/average?source=main&measure=du,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
,,,
Operations,GET,https://sigopsmetrics-api.dot.ga.gov/signals/all,
Operations,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/filter?source=main&measure=tp,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Operations,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/average?source=main&measure=tp&dashboard=false,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Operations,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=tp,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Operations,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/signals/filter/average?source=main&measure=tp,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
,,,
Dashboard,GET,https://sigopsmetrics-api.dot.ga.gov/metrics?source=main&level=cor&interval=mo&measure=ttyp&start=4/2025&end=4/2025,
Dashboard,GET,https://sigopsmetrics-api.dot.ga.gov/signals/all,
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=prd,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=sfd,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=aogd,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=tp,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=qsd,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=sfo,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=pti,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=tti,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=vpd,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=vphpp,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=papd,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
Dashboard,POST,https://sigopsmetrics-api.dot.ga.gov/metrics/straightaverage?source=main&measure=du,"{""dateRange"":4,""timePeriod"":4,""customStart"":null,""customEnd"":null,""daysOfWeek"":null,""startTime"":null,""endTime"":null,""zone_Group"":""Central Metro"",""zone"":null,""agency"":null,""county"":null,""city"":null,""corridor"":null,""signalId"":"""",""priority"":"""",""classification"":""""}"
